,Var1,Var2,Subsystem 1,Subsystem 2
40,CYSTGL,THRD_L,Methionine Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
41,CYS,CYSS,"Glycine, Serine and threonine metabolism",Cysteine Metabolism
42,CYS,SERAT,"Glycine, Serine and threonine metabolism",Cysteine Metabolism
43,CYTK1,NTD4,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
44,DALAt2pp,DALAtex,"Tranpsort, Inner Membrane","Transport, Outer Membrane Porin"
45,DHORD2,DHORD5,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
46,DNAMTn2r,METS,Exchange,Methionine Metabolism
47,DNAMTn2r,MTHFR2,Exchange,Folate Metabolism
48,EAR121y,EAR121x,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
49,EAR141y,EAR141x,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
50,EAR161y,EAR161x,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
51,EAR181y,EAR181x,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
52,EAR40y,EAR40x,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
53,EAR60y,EAR60x,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
54,EAR80y,EAR80x,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
55,FUM,SUCCt3pp,Citric Acid Cycle,Transport
56,GARFT,GART,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
57,G5SD,NACODA,Arginine and Proline Metabolism,Arginine and Proline Metabolism
58,GLCtex,GLCtex,"Transport, Outer Membrane","Transport, Outer Membrane"
59,GLU5K,NACODA,Arginine and Proline Metabolism,Arginine and Proline Metabolism
60,GLYCtpp,GLYCtex,"Tranpsort, Inner Membrane","Transport, Outer Membrane Porin"
61,FLDR,NDPK8,Unassigned,Nucleotide Salvage Pathway
62,HCYSMT,METS,Methionine Metabolism,Methionine Metabolism
63,HCYSMT,MTHFR2,Methionine Metabolism,Folate Metabolism
64,ICDHyr,FGLU,Citric Acid Cycle,Histidine Metabolism
65,ICDHyr,FORAMD,Citric Acid Cycle,Histidine Metabolism
66,ICDHyr,HISDr,Citric Acid Cycle,Histidine Metabolism
67,ICDHyr,IZPN,Citric Acid Cycle,Histidine Metabolism
68,ICDHyr,URCN,Citric Acid Cycle,Histidine Metabolism
69,KAS15,KAS14,Membrane Lipid Metabolism,Membrane Lipid Metabolism
70,NDPK1,ADK3,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
71,NDPK5,RNTR2c,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
72,NDPK7,RNTR3c,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
73,MTHFC,GART,Folate Metabolism,Purine and Pyrimidine Biosynthesis
74,MTHFC,PFL,Folate Metabolism,Pyruvate Metabolism
75,MTHFD,GART,Folate Metabolism,Purine and Pyrimidine Biosynthesis
76,MTHFD,PFL,Folate Metabolism,Pyruvate Metabolism
77,PAPSR,GRXR,Cysteine Metabolism,Unassigned
78,PAPSR,GTHOr,Cysteine Metabolism,Cofactor and Prosthetic Group Biosynthesis
79,PAPSR,PAPSR2,Cysteine Metabolism,Cysteine Metabolism
80,PGPP181,2AGPG181tipp,Glycerophospholipid Metabolism,"Tranpsort, Inner Membrane"
81,PGPP181,2AGPGAT181,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
82,PGPP181,FACOAL181t2pp,Glycerophospholipid Metabolism,Cell Envelope Biosynthesis
83,PGPP181,PGPP181pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
84,PGPP181,PGP181abcpp,Glycerophospholipid Metabolism,"Transport, Inner Membrane"
85,PGPP181,PLIPA1G181pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
86,PG160abcpp,PGP160abcpp,"Transport, Inner Membrane","Transport, Inner Membrane"
87,PG160abcpp,PGPP160pp,"Transport, Inner Membrane",Glycerophospholipid Metabolism
88,PG161abcpp,PGP161abcpp,"Transport, Inner Membrane","Transport, Inner Membrane"
89,PG161abcpp,PGPP161pp,"Transport, Inner Membrane",Glycerophospholipid Metabolism
90,PG181abcpp,PGPP181pp,"Transport, Inner Membrane",Glycerophospholipid Metabolism
91,PG181abcpp,PGP181abcpp,"Transport, Inner Membrane","Transport, Inner Membrane"
92,PIt2rpp,PIuabcpp,Inorganic Ion Transport and Metabolism,Inorganic Ion Transport and Metabolism
93,PGPP160,2AGPG160tipp,Glycerophospholipid Metabolism,"Tranpsort, Inner Membrane"
94,PGPP160,2AGPGAT160,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
95,PGPP160,FACOAL160t2pp,Glycerophospholipid Metabolism,Cell Envelope Biosynthesis
96,PGPP160,PGP160abcpp,Glycerophospholipid Metabolism,"Transport, Inner Membrane"
97,PGPP160,PLIPA1G160pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
98,PGPP160,PGPP160pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
99,PGPP161,2AGPG161tipp,Glycerophospholipid Metabolism,"Tranpsort, Inner Membrane"
100,PGPP161,2AGPGAT161,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
101,PGPP161,FACOAL161t2pp,Glycerophospholipid Metabolism,Cell Envelope Biosynthesis
102,PGPP161,PGP161abcpp,Glycerophospholipid Metabolism,"Transport, Inner Membrane"
103,PGPP161,PLIPA1G161pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
104,PGPP161,PGPP161pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
105,RNTR1c,NDPK8,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
106,RPI,KDOCT2,Pentose Phosphate Pathway,Lipopolysaccharide Biosynthesis / Recycling
107,RPI,MOAT,Pentose Phosphate Pathway,Lipopolysaccharide Biosynthesis / Recycling
108,RPI,MOAT2,Pentose Phosphate Pathway,Lipopolysaccharide Biosynthesis / Recycling
109,PPK,PPA,Oxidative Phosphorylation,Anaplerotic Reactions
110,TRDR,GRXR,Oxidative Phosphorylation,Unassigned
111,TRDR,GTHOr,Oxidative Phosphorylation,Cofactor and Prosthetic Group Biosynthesis
112,TRDR,PAPSR2,Oxidative Phosphorylation,Cysteine Metabolism
113,TRPS1,TRPS2,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","Tyrosine, Tryptophan, and Phenylalanine Metabolism"
114,TRPS1,TRPS3,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","Tyrosine, Tryptophan, and Phenylalanine Metabolism"
115,VALTA,VPAMTr,"Valine, Leucine, and Isoleucine Metabolism",Alanine and Aspartate Metabolism
116,PRPPS,R15BPK,Histidine Metabolism,Alternate Carbon Metabolism
117,PRPPS,R1PK,Histidine Metabolism,Exchange
118,PRPPS,PPM,Histidine Metabolism,Alternate Carbon Metabolism
119,NDPK5,FLDR,Nucleotide Salvage Pathway,Unassigned
120,NDPK7,FLDR,Nucleotide Salvage Pathway,Unassigned
121,MTHFC,GARFT,Folate Metabolism,Purine and Pyrimidine Biosynthesis
122,MTHFD,GARFT,Folate Metabolism,Purine and Pyrimidine Biosynthesis
123,O2tex,GAPD,"Transport, Outer Membrane Porin",Glycolysis/Gluconeogenesis
124,O2tpp,GAPD,Transport,Glycolysis/Gluconeogenesis
125,PGCD,GHMT2r,Glycine and Serine Metabolism,Glycerophospholipid Metabolism
126,PGK,O2tex,Glycolysis/Gluconeogenesis,"Transport, Outer Membrane Porin"
127,PGK,O2tpp,Glycolysis/Gluconeogenesis,Transport
128,PSERT,GHMT2r,Glycine and Serine Metabolism,Glycerophospholipid Metabolism
129,PSP_L,GHMT2r,Glycine and Serine Metabolism,Glycerophospholipid Metabolism
130,PPC,FUM,Anaplerotic Reactions,Citric Acid Cycle
131,RPE,GND,Pentose Phosphate Pathway,Pentose Phosphate Pathway
132,RPI,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
133,SUCOAS,AKGDH,Citric Acid Cycle,Citric Acid Cycle
134,TALA,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
135,TALA,RPI,Pentose Phosphate Pathway,Pentose Phosphate Pathway
136,TKT1,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
137,TKT1,RPI,Pentose Phosphate Pathway,Pentose Phosphate Pathway
138,TKT1,TALA,Pentose Phosphate Pathway,Pentose Phosphate Pathway
139,TKT2,GND,Pentose Phosphate Pathway,Pentose Phosphate Pathway
140,TKT2,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
141,TKT2,RPI,Pentose Phosphate Pathway,Pentose Phosphate Pathway
142,TKT2,TALA,Pentose Phosphate Pathway,Pentose Phosphate Pathway
143,TKT2,TKT1,Pentose Phosphate Pathway,Pentose Phosphate Pathway
