"","Centrality","Class","RCI","RI"
"NDPK2",0.141276281814828,"Opt",27,1
"NDPK4",0.135374400590188,"Opt",18,1
"NDPK5",0.135374400590188,"ELE",3,1
"NDPK7",0.135374400590188,"MLE",1,1
"NDPK8",0.134267797860568,"ELE",1,1
"NI2tpp",0.00258207303578015,"Opt",19,1
"NI2uabcpp",0.524529693839911,"MLE",2,1
"O2tex",0.0033198081888602,"Opt",18,9
"O2tpp",0.0177056436739211,"Opt",26,9
"OHPBAT",0.0228697897454814,"Opt",33,2
"OPHHX3",0.527111766875692,"Opt",56,3
"OPHHXy",0.49170047952785,"MLE",16,1
"PAI2I",0.00110660272962007,"Opt",26,2
"PAI2T",0.0372556252305422,"Opt",26,2
"PAPSR",0.401327923275544,"Opt",32,3
"PAPSR2",0.400221320545924,"ELE",6,2
"PDX5PO2",0.405016599040944,"Opt",28,3
"PDX5POi",0.0210254518627813,"MLE",3,1
"PERD",0.403172261158244,"Opt",33,2
"PGCD",0.404278863887864,"Opt",21,1
"PGK",0.134636665437108,"Opt",18,2
"PGM",0.00221320545924013,"Opt",18,2
"PIt2rpp",0.488380671338989,"Opt",19,1
"PIuabcpp",0.540759867207672,"MLE",9,1
"POR5",0.436001475470306,"Opt",25,1
"PPC",0.516045739579491,"Opt",20,1
"PPM",0.0066396163777204,"Opt",4,1
"PPPGO",0.234599778679454,"MLE",7,1
"PPPGO3",0.0143858354850609,"Opt",29,3
"PRPPS",0.432681667281446,"Opt",11,3
"PSERT",0.0228697897454814,"Opt",21,1
"PSP_L",0.263002582073036,"Opt",21,1
"PYK2",0.421984507561785,"Opt",2,1
"PYK6",0.420509037255625,"Opt",1,1
"R15BPK",0.137218738472888,"ELE",3,1
"R1PK",0.427517521209886,"ELE",3,1
"RNTR1c2",0.512357063814091,"Opt",29,1
"RNTR2c2",0.489856141645149,"Opt",30,1
"RNTR3c2",0.489118406492069,"Opt",27,1
"RPE",0.00368867576540022,"Opt",27,4
"RPI",0.00627074880118038,"Opt",31,8
"S2FE2SR",0.524160826263371,"Block",17,1
"S2FE2SS",0.528587237181852,"MLE",26,5
"S2FE2SS2",0.528587237181852,"MLE",22,4
"S2FE2ST",0.398008115086684,"MLE",16,2
"S4FE4SR",0.402065658428624,"MLE",22,4
"S4FE4ST",0.398376982663224,"MLE",22,4
"SCYSDS",0.0106971597196606,"MLE",27,6
"SO4t2pp",0.434894872740686,"Opt",28,1
"SUCCtex",0.00405754334194024,"MLE",19,2
"SULabcpp",0.524160826263371,"MLE",1,1
"TALA",0.0125414976023608,"ELE",11,1
"TKT1",0.0114348948727407,"Opt",31,3
"TKT2",0.0129103651789008,"Opt",29,4
"TRDR",0.404278863887864,"Opt",34,3
"TRPS1",0.237919586868314,"MLE",7,1
"TRPS3",0.00737735153080044,"Opt",25,1
"VALTA",0.0243452600516415,"Opt",3,2
"VPAMTr",0.033198081888602,"ELE",3,2
"XPPT",0.0512725931390631,"MLE",2,1
"ZN2tpp",0.00258207303578015,"Opt",19,1
"ZNabcpp",0.524529693839911,"MLE",2,1
