"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"36",36,"CS","FGLU",0,116.645368132663,0,14.0157674785578,0,0,0,0,0,-3.41547345961146e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",272,57.6346892849765,16,79,177,95,"Citric Acid Cycle","Histidine Metabolism"
"37",37,"CS","FORAMD",0,116.645368132663,0,14.0157674785578,0,-48.2595357728445,0,0,0,-3.41547345961146e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",272,57.6346892849765,16,79,177,95,"Citric Acid Cycle","Histidine Metabolism"
"38",38,"CS","HISDr",0,116.645368132663,0,14.0157674785578,0,0,0,0,0,-3.41060513164848e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",272,57.6346892849765,16,79,177,95,"Citric Acid Cycle","Histidine Metabolism"
"39",39,"CS","IZPN",0,116.645368132663,0,14.0157674785578,0,0,0,0,0,-3.41547345961146e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",272,57.6346892849765,16,79,177,95,"Citric Acid Cycle","Histidine Metabolism"
"40",40,"CS","URCN",0,116.645368132663,0,14.0157674785578,0,0.0229380249555025,0,0,0,-3.41547345961146e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",272,57.6346892849765,16,79,177,95,"Citric Acid Cycle","Histidine Metabolism"
"66",66,"ICDHyr","FGLU",-13.6111016250688,28.5387550039998,0,14.0157674785578,0,0,-1,0,0,-2.95626023660844e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",234,36.9775888634508,15,109,110,124,"Citric Acid Cycle","Histidine Metabolism"
"67",67,"ICDHyr","FORAMD",-13.6111016250688,28.5387550039998,0,14.0157674785578,0,-48.2595357728445,-1,0,0,-2.95626023660844e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",234,36.9775888634508,15,109,110,124,"Citric Acid Cycle","Histidine Metabolism"
"68",68,"ICDHyr","HISDr",-13.6111016250688,28.5387550039998,0,14.0157674785578,0,0,-1,0,0,-2.95585778076202e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",234,36.9775888634508,15,109,110,124,"Citric Acid Cycle","Histidine Metabolism"
"69",69,"ICDHyr","IZPN",-13.6111016250688,28.5387550039998,0,14.0157674785578,0,0,-1,0,0,-2.95626023660844e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",234,36.9775888634508,15,109,110,124,"Citric Acid Cycle","Histidine Metabolism"
"70",70,"ICDHyr","URCN",-13.6111016250688,28.5387550039998,0,14.0157674785578,0,0.0229380249555025,-1,0,0,-2.95626023660844e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",234,36.9775888634508,15,109,110,124,"Citric Acid Cycle","Histidine Metabolism"
"81",81,"O2tex","GAPD",0,21.837,-27.3148956441067,20.7720154310686,0,0,0,-1,18.074307265075,18.0743072650904,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",325,774.645596115963,17,27,281,44,"Transport, Outer Membrane Porin","Glycolysis/Gluconeogenesis"
"82",82,"O2tpp","GAPD",0,21.837,-27.3148956441067,20.7720154310686,0,0,0,-1,18.0743072651774,18.074307265089,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",324,774.634949446885,17,32,275,49,"Transport","Glycolysis/Gluconeogenesis"
"93",93,"PGK","O2tex",-20.7720154310686,27.3148956441069,0,21.837,10.2255344754562,0,-1,0,NA,NA,21.8308334587401,21.837,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",327,786.512876794421,17,31,279,48,"Glycolysis/Gluconeogenesis","Transport, Outer Membrane Porin"
"94",94,"PGK","O2tpp",-20.7720154310686,27.3148956441069,0,21.837,10.2255344754562,0,-1,0,NA,NA,21.8308334587517,21.830833458741,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",325,774.645596115589,17,30,278,47,"Glycolysis/Gluconeogenesis","Transport"
"114",114,"PPC","FUM",0,115.971143684306,-17.9284103626171,1000,0,0,0,-1,7.39144346081696,1000,7.3914434608173,996.983649718481,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",293,79.0461284902371,15,20,258,35,"Anaplerotic Reactions","Citric Acid Cycle"
"124",124,"RPI","KDOCT2",-33.1004094293887,0.321756509460442,0,1.07657102813111,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",332,279.877436819011,10,97,225,107,"Pentose Phosphate Pathway","Lipopolysaccharide Biosynthesis / Recycling"
"125",125,"RPI","MOAT",-33.1004094293887,0.321756509460442,0,0.538285514065553,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",332,279.877436819011,10,97,225,107,"Pentose Phosphate Pathway","Lipopolysaccharide Biosynthesis / Recycling"
"126",126,"RPI","MOAT2",-33.1004094293887,0.321756509460442,0,0.538285514065553,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",332,279.877436819011,10,97,225,107,"Pentose Phosphate Pathway","Lipopolysaccharide Biosynthesis / Recycling"
"127",127,"RPI","RPE",-33.1004094293887,0.321756509460442,-32.0746315974292,30.6994800568052,0,0,-1,-1,NA,NA,-0.747223540178652,-0.747223540236973,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",334,285.827787110424,13,92,229,105,"Pentose Phosphate Pathway","Pentose Phosphate Pathway"
"130",130,"TALA","RPI",-16.0285576479164,15.3584981792023,-33.1004094293887,0.321756509460442,0,0,-1,-1,NA,NA,-0.742010352662987,-0.742010352729153,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",334,281.88572752394,14,95,225,109,"Pentose Phosphate Pathway","Pentose Phosphate Pathway"
"132",132,"TKT1","RPI",-16.0281927249649,15.3588631021514,-33.1004094293887,0.321756509460442,0.180376287150088,0,-1,-1,NA,NA,-0.742010352709372,-0.742010352725401,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",338,285.851639897769,14,102,222,116,"Pentose Phosphate Pathway","Pentose Phosphate Pathway"
"136",136,"TKT2","RPI",-16.0464388724646,15.3406169546555,-33.1004094293887,0.321756509460442,0.0485869074057064,0,-1,-1,NA,NA,-0.742010352648663,-0.742010352728471,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",337,291.095845861019,13,100,224,113,"Pentose Phosphate Pathway","Pentose Phosphate Pathway"
