"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule","species"
"24",24,"GLUDy","GLUSy",-9.89503553349255,158.155745050865,0,158.38283779232,0,-4.76531919319746,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",3,12.944286262935,1,2,0,1,"Glutamate Metabolism","Glutamate Metabolism","e_coli_core"
"25",25,"GND","FBA",0,58.0076567522251,-9.37935004501003,9.95653553906504,-3.21489504768476,0,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,398.49720746489,6,8,33,0.297872340425532,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"26",26,"GND","PFK",0,58.0076567522251,0,168.339373331385,-3.21489504768476,7.47738196216029,0,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,401.87466181883,8,9,31,0.354166666666667,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"27",27,"GND","PGI",0,58.0076567522251,-48.016614442475,9.99104230975001,-3.21489504768476,4.86086114649686,0,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",33,132.122442112756,2,6,25,0.242424242424242,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"28",28,"GND","RPE",0,58.0076567522251,-0.620909006871443,38.6403624474101,-3.21489504768476,2.67848185050752,0,-1,2.67848185050752,2.67848185050741,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",16,7.62717003166002,3,7,6,0.625,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"29",29,"GND","TALA",0,58.0076567522251,-0.1545362010703,19.32806836073,-3.21489504768476,1.49698375726155,0,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.35027301691792,4,7,3,0.785714285714286,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"30",30,"GND","TKT1",0,58.0076567522251,-0.1545362010703,19.32806836073,-3.21489504768476,1.49698375726155,0,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.35027301691792,4,7,3,0.785714285714286,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"31",31,"GND","TKT2",0,58.0076567522251,-0.466372805801257,19.31229408668,-3.21489504768476,1.18149809324598,0,-1,1.18149809324598,1.18149809324598,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",24,15.0277844926235,3,7,14,0.416666666666667,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"32",32,"GND","TPI",0,58.0076567522251,-9.37935004501003,9.95653553906504,-3.21489504768476,7.47738196216028,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,398.49720746489,6,8,33,0.297872340425532,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"33",33,"H2Ot","ACALD",-58.4587922508449,9.40458014427998,-19.335885584075,0,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",56,386.67819007119,6,8,42,0.25,"Transport, Extracellular","Pyruvate Metabolism","e_coli_core"
"34",34,"H2Ot","ALCD2x",-58.4587922508449,9.40458014427998,-19.335885584075,0,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",56,386.67819007119,6,8,42,0.25,"Transport, Extracellular","Pyruvate Metabolism","e_coli_core"
"35",35,"H2Ot","ETOHt2r",-58.4587922508449,9.40458014427998,-19.335885584075,0,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",56,386.67819007119,6,8,42,0.25,"Transport, Extracellular","Transport, Extracellular","e_coli_core"
"36",36,"H2Ot","FBA",-58.4587922508449,9.40458014427998,-9.37935004501003,9.95653553906504,0,0,-1,-1,NA,NA,7.47738196216028,7.47738196216028,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",55,661.461746497102,6,10,39,0.290909090909091,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"37",37,"H2Ot","FORt",-58.4587922508449,9.40458014427998,-633.531351169278,0,0,22.809833310205,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",56,396.402199267733,6,7,43,0.232142857142857,"Transport, Extracellular","Transport, Extracellular","e_coli_core"
"38",38,"H2Ot","PFK",-58.4587922508449,9.40458014427998,0,168.339373331385,0,7.47738196216029,-1,0,NA,NA,7.47738196216032,7.47738196216028,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",55,670.012851379156,5,11,39,0.290909090909091,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"39",39,"H2Ot","PFL",-58.4587922508449,9.40458014427998,0,38.882678892685,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL",56,396.402199267733,6,7,43,0.232142857142857,"Transport, Extracellular","Pyruvate Metabolism","e_coli_core"
"40",40,"H2Ot","TPI",-58.4587922508449,9.40458014427998,-9.37935004501003,9.95653553906504,0,7.47738196216028,-1,-1,NA,NA,7.47738196216028,7.47738196216028,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",55,661.461746497102,6,10,39,0.290909090909091,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"41",41,"MDH","PPC",-64.69082105161,38.6717711681499,0,158.5080531932,0,2.50430947036873,-1,0,2.50430947036873,2.50430947036873,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",23,22.7439004774151,5,8,10,0.565217391304348,"Citric Acid Cycle","Anaplerotic reactions","e_coli_core"
"42",42,"NADH16","FBA",0,116.17995148164,-9.37935004501003,9.95653553906504,0,0,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,718.396112594275,6,17,34,0.403508771929825,"Oxidative Phosphorylation","Glycolysis/Gluconeogenesis","e_coli_core"
"43",43,"NADH16","FORt",0,116.17995148164,-633.531351169278,0,0,22.809833310205,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",49,420.860003695033,4,7,38,0.224489795918367,"Oxidative Phosphorylation","Transport, Extracellular","e_coli_core"
"44",44,"NADH16","PFK",0,116.17995148164,0,168.339373331385,0,7.47738196216029,0,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",58,727.705589790092,5,18,35,0.396551724137931,"Oxidative Phosphorylation","Glycolysis/Gluconeogenesis","e_coli_core"
"45",45,"NADH16","PFL",0,116.17995148164,0,38.882678892685,0,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",49,420.860003695034,4,7,38,0.224489795918367,"Oxidative Phosphorylation","Pyruvate Metabolism","e_coli_core"
"46",46,"NADH16","PGI",0,116.17995148164,-48.016614442475,9.99104230975001,0,4.86086114649686,0,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",53,466.92158603272,4,5,44,0.169811320754717,"Oxidative Phosphorylation","Glycolysis/Gluconeogenesis","e_coli_core"
"47",47,"NADH16","TPI",0,116.17995148164,-9.37935004501003,9.95653553906504,0,7.47738196216028,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,718.396112594275,6,17,34,0.403508771929825,"Oxidative Phosphorylation","Glycolysis/Gluconeogenesis","e_coli_core"
"48",48,"O2t","FBA",0,58.0899757408199,-9.37935004501003,9.95653553906504,10,0,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,720.919418560125,10,12,35,0.385964912280702,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"49",49,"O2t","PFK",0,58.0899757408199,0,168.339373331385,10,7.47738196216029,0,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,730.14478555708,8,13,36,0.368421052631579,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"50",50,"O2t","PGI",0,58.0899757408199,-48.016614442475,9.99104230975001,10,4.86086114649686,0,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,490.609297675061,8,10,39,0.315789473684211,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"51",51,"O2t","PPC",0,58.0899757408199,0,158.5080531932,10,2.50430947036873,0,0,2.50430947036873,2.50430947036873,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",58,445.2370329464,9,14,35,0.396551724137931,"Transport, Extracellular","Anaplerotic reactions","e_coli_core"
"52",52,"O2t","TPI",0,58.0899757408199,-9.37935004501003,9.95653553906504,10,7.47738196216028,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,720.919418560125,10,12,35,0.385964912280702,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"53",53,"PDH","FORt",0,38.882678892685,-633.531351169278,0,0.223461729331828,22.809833310205,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",31,54.3349256767783,1,6,24,0.225806451612903,"Glycolysis/Gluconeogenesis","Transport, Extracellular","e_coli_core"
"54",54,"PDH","PFL",0,38.882678892685,0,38.882678892685,0.223461729331828,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",31,54.3349256767783,1,6,24,0.225806451612903,"Glycolysis/Gluconeogenesis","Pyruvate Metabolism","e_coli_core"
"55",55,"PFK","NADTRHD",0,168.339373331385,0,359.796978454322,7.47738196216029,4.95998494457467,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",49,330.096757804074,7,11,31,0.36734693877551,"Glycolysis/Gluconeogenesis","Oxidative Phosphorylation","e_coli_core"
"56",56,"PGI","NADTRHD",-48.016614442475,9.99104230975001,0,359.796978454322,4.86086114649686,4.95998494457467,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",29,34.5645406986695,1,4,24,0.172413793103448,"Glycolysis/Gluconeogenesis","Oxidative Phosphorylation","e_coli_core"
"57",57,"PGI","PFK",-48.016614442475,9.99104230975001,0,168.339373331385,4.86086114649686,7.47738196216029,-1,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,268.867615502585,6,9,33,0.3125,"Glycolysis/Gluconeogenesis","Glycolysis/Gluconeogenesis","e_coli_core"
"58",58,"PGL","PFK",0,58.0076567522251,0,168.339373331385,4.95998494457465,7.47738196216029,0,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,401.87466181883,8,9,31,0.354166666666667,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"59",59,"PGL","PGI",0,58.0076567522251,-48.016614442475,9.99104230975001,4.95998494457465,4.86086114649686,0,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",33,132.122442112756,2,6,25,0.242424242424242,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"60",60,"PPC","ICL",0,158.5080531932,0,19.335885584075,2.50430947036873,7.47738196216028,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",10,23.7909261672001,2,2,6,0.4,"Anaplerotic reactions","Anaplerotic reactions","e_coli_core"
"61",61,"PPC","MALS",0,158.5080531932,0,19.335885584075,2.50430947036873,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",10,23.7909261672001,2,2,6,0.4,"Anaplerotic reactions","Anaplerotic reactions","e_coli_core"
"62",62,"RPE","PFK",-0.620909006871443,38.6403624474101,0,168.339373331385,2.67848185050752,7.47738196216029,-1,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,390.707468324165,6,9,33,0.3125,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"63",63,"RPE","PGI",-0.620909006871443,38.6403624474101,-48.016614442475,9.99104230975001,2.67848185050752,4.86086114649686,-1,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",33,119.501639074157,2,4,27,0.181818181818182,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"64",64,"RPE","PGL",-0.620909006871443,38.6403624474101,0,58.0076567522251,2.67848185050752,4.95998494457465,-1,0,4.95998494457464,4.95998494457456,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",16,7.62717003166003,3,7,6,0.625,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"65",65,"SUCDi","PPC",0,1000,0,158.5080531932,5.0643756614821,2.50430947036873,0,0,2.50430947036873,2.50430947036873,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",46,56.9321370845276,7,7,32,0.304347826086957,"Oxidative Phosphorylation","Anaplerotic reactions","e_coli_core"
"66",66,"TALA","PFK",-0.1545362010703,19.32806836073,0,168.339373331385,1.49698375726155,7.47738196216029,-1,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,396.322178952987,7,9,32,0.333333333333333,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"67",67,"TALA","PGI",-0.1545362010703,19.32806836073,-48.016614442475,9.99104230975001,1.49698375726155,4.86086114649686,-1,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",33,125.847098820228,2,5,26,0.212121212121212,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"68",68,"TALA","PGL",-0.1545362010703,19.32806836073,0,58.0076567522251,1.49698375726155,4.95998494457465,-1,0,4.95998494457464,4.95998494457456,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.35027301691793,4,7,3,0.785714285714286,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"69",69,"TALA","RPE",-0.1545362010703,19.32806836073,-0.620909006871443,38.6403624474101,1.49698375726155,2.67848185050752,-1,-1,2.67848185050752,2.67848185050741,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.38625974075131,3,6,5,0.642857142857143,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"70",70,"TKT1","PFK",-0.1545362010703,19.32806836073,0,168.339373331385,1.49698375726155,7.47738196216029,-1,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,396.322178952987,7,9,32,0.333333333333333,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"71",71,"TKT1","PGI",-0.1545362010703,19.32806836073,-48.016614442475,9.99104230975001,1.49698375726155,4.86086114649686,-1,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",33,125.847098820228,2,5,26,0.212121212121212,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"72",72,"TKT1","PGL",-0.1545362010703,19.32806836073,0,58.0076567522251,1.49698375726155,4.95998494457465,-1,0,4.95998494457464,4.95998494457456,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.35027301691793,4,7,3,0.785714285714286,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"73",73,"TKT1","RPE",-0.1545362010703,19.32806836073,-0.620909006871443,38.6403624474101,1.49698375726155,2.67848185050752,-1,-1,2.67848185050752,2.67848185050741,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.38625974075131,3,6,5,0.642857142857143,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"74",74,"TKT2","PFK",-0.466372805801257,19.31229408668,0,168.339373331385,1.18149809324598,7.47738196216029,-1,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,385.080684925625,6,9,33,0.3125,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"75",75,"TKT2","PGI",-0.466372805801257,19.31229408668,-48.016614442475,9.99104230975001,1.18149809324598,4.86086114649686,-1,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",33,113.142201862416,2,4,27,0.181818181818182,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"76",76,"TKT2","PGL",-0.466372805801257,19.31229408668,0,58.0076567522251,1.18149809324598,4.95998494457465,-1,0,4.95998494457464,4.95998494457456,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",24,15.0277844926235,3,7,14,0.416666666666667,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"77",77,"TKT2","RPE",-0.466372805801257,19.31229408668,-0.620909006871443,38.6403624474101,1.18149809324598,2.67848185050752,-1,-1,2.67848185050752,2.67848185050741,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.4552504864875,2,6,6,0.571428571428571,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"78",78,"TKT2","TALA",-0.466372805801257,19.31229408668,-0.1545362010703,19.32806836073,1.18149809324598,1.49698375726155,-1,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",20,8.8673206492664,3,6,11,0.45,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"79",79,"TKT2","TKT1",-0.466372805801257,19.31229408668,-0.1545362010703,19.32806836073,1.18149809324598,1.49698375726155,-1,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",20,8.8673206492664,3,6,11,0.45,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"80",80,"TPI","CO2t",-9.37935004501003,9.95653553906504,-58.140492744225,10.3951050549324,7.47738196216028,-22.809833310205,-1,-1,-22.8098333102049,-22.8098333102049,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",54,636.947635949505,7,9,38,0.296296296296296,"Glycolysis/Gluconeogenesis","Transport, Extracellular","e_coli_core"
"81",81,"TPI","CYTBD",-9.37935004501003,9.95653553906504,0,116.17995148164,7.47738196216028,43.5989853119975,-1,0,43.5989853119975,43.5989853119975,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",56,720.81200354736,9,12,35,0.375,"Glycolysis/Gluconeogenesis","Oxidative Phosphorylation","e_coli_core"
